timestamp,x,y,z
1754698681869,0.1375,-0.0670,9.8225
1754698681889,1.7559,0.0572,9.6579
1754698681909,2.7403,0.1226,9.9399
1754698681929,2.7484,0.0573,9.7906
1754698681949,1.6160,0.0134,9.8602
1754698681969,-0.0547,-0.0038,9.7339
1754698681989,-1.8504,0.0851,9.6967
1754698682009,-2.9768,-0.0999,9.8104
1754698682029,-2.8493,-0.0189,9.9079
1754698682049,-1.7838,-0.0583,9.8479
1754698682069,0.1370,0.1143,9.7501
1754698682089,1.8996,-0.1049,9.7456
1754698682109,2.9206,0.1465,9.8395
1754698682129,2.8844,0.1093,9.8948
1754698682149,1.8060,-0.0831,9.6622
1754698682169,0.1250,0.0659,9.7003
1754698682189,-1.8978,-0.0246,9.7518
1754698682209,-2.8333,-0.0220,9.7718
1754698682229,-2.9336,-0.0782,9.8252
1754698682249,-1.8285,0.1283,9.7630
1754698682269,-0.0954,-0.1021,9.7039
1754698682289,1.7077,0.0047,9.7560
1754698682309,2.8108,0.1445,9.7579
1754698682329,3.0014,0.1059,9.8003
1754698682349,1.7001,-0.0202,9.7448
1754698682369,0.0857,-0.1057,9.8669
1754698682389,-1.8528,0.1485,9.8946
1754698682409,-2.7929,0.1257,9.8551
1754698682429,-2.9338,0.0499,9.8942
1754698682449,-1.6716,-0.0097,9.7308
1754698682469,0.1362,-0.1092,9.9075
1754698682489,1.6647,-0.0195,9.6848
1754698682509,2.8809,-0.1480,9.7490
1754698682529,2.7613,0.1015,9.8759
1754698682549,1.8880,0.0759,9.6684
1754698682569,-0.0059,-0.0858,9.6682
1754698682589,-1.6180,-0.0744,9.9107
1754698682609,-2.9707,0.0276,9.8646
1754698682629,-2.9338,0.0295,9.6920
1754698682649,-1.8200,-0.1054,9.8921
1754698682669,-0.1126,-0.0459,9.8609
1754698682689,1.7870,0.0491,9.7874
1754698682709,2.9620,-0.1069,9.9001
1754698682729,2.8557,0.1201,9.8206
1754698682749,1.7013,-0.0087,9.6937
1754698682769,0.1455,0.1473,9.8377
1754698682789,-1.8947,-0.0536,9.9324
1754698682809,-2.7426,0.1047,9.9225
1754698682829,-2.7612,-0.1032,9.8914
1754698682849,-1.6501,-0.0508,9.7958
1754698682869,-0.1025,0.0717,9.8791
1754698682889,1.7301,0.1305,9.9183
1754698682909,2.9364,-0.1428,9.6704
1754698682929,2.7657,0.0411,9.7623
1754698682949,1.7401,-0.1461,9.8340
1754698682969,0.1059,-0.1061,9.6598
1754698682989,-1.8618,-0.1059,9.8055
1754698683009,-2.7690,-0.0546,9.7929
1754698683029,-2.9927,0.1467,9.6933
1754698683049,-1.6782,-0.1271,9.7827
1754698683069,0.0397,-0.0009,9.6958
1754698683089,1.8436,0.0093,9.6986
1754698683109,2.8229,0.0593,9.7258
1754698683129,2.9189,0.0393,9.9354
1754698683149,1.7957,-0.0535,9.7024
1754698683169,-0.0808,0.0490,9.7529
1754698683189,-1.7919,0.0976,9.7436
1754698683209,-2.8310,0.1137,9.8017
1754698683229,-2.7714,0.1423,9.8870
1754698683249,-1.7984,-0.0123,9.8308
1754698683269,-0.0027,0.0841,9.8126
1754698683289,1.7673,0.0232,9.9376
1754698683309,2.9885,-0.1453,9.7444
1754698683329,2.8856,0.0320,9.8130
1754698683349,1.8408,0.1402,9.6973
1754698683369,-0.0540,0.0654,9.7866
1754698683389,-1.7005,-0.0331,9.6962
1754698683409,-2.7810,0.0138,9.9466
1754698683429,-2.8343,-0.1409,9.7225
1754698683449,-1.6885,0.1486,9.7823
1754698683469,-0.0243,0.1366,9.8871
1754698683489,1.7964,0.0275,9.8600
1754698683509,2.7331,-0.0427,9.8309
1754698683529,2.9867,-0.0061,9.8952
1754698683549,1.7662,0.0925,9.8597
1754698683569,0.1220,0.0750,9.7460
1754698683589,-1.8872,-0.1403,9.8849
1754698683609,-2.7406,-0.0104,9.7742
1754698683629,-2.9533,-0.0691,9.6802
1754698683649,-1.8667,0.1438,9.8808
1754698683669,0.0032,-0.0700,9.8485
1754698683689,1.7866,-0.0650,9.7124
1754698683709,2.8272,-0.0694,9.8618
1754698683729,2.9515,-0.0189,9.9500
1754698683749,1.8223,-0.0337,9.6741
1754698683769,-0.1334,0.0473,9.7771
1754698683789,-1.7641,-0.0159,9.7389
1754698683809,-2.8275,0.1338,9.8585
1754698683829,-2.8434,0.0821,9.9093
1754698683849,-1.7353,0.1072,9.9200
1754698683869,-0.0049,-0.0265,9.6610
1754698683889,1.8840,-0.0637,9.8143
1754698683909,2.9037,0.1386,9.9498
1754698683929,2.9019,0.0866,9.7706
1754698683949,1.8335,-0.1224,9.9223
1754698683969,-0.1430,0.0512,9.8621
1754698683989,-1.8740,0.0331,9.6814
1754698684009,-2.8009,0.0565,9.8073
1754698684029,-2.9906,-0.0917,9.6912
1754698684049,-1.7183,-0.0688,9.8202
1754698684069,-0.0132,-0.0619,9.9260
1754698684089,1.8680,-0.0215,9.7660
1754698684109,2.9955,-0.0687,9.7763
1754698684129,2.9844,-0.0867,9.8291
1754698684149,1.7911,-0.0479,9.9027
1754698684169,0.0112,0.0330,9.9039
1754698684189,-1.7025,0.0072,9.7176
1754698684209,-2.8655,0.0796,9.7755
1754698684229,-2.7404,-0.0282,9.7971
1754698684249,-1.7901,0.1461,9.9417
